# strong X-ray emission lines with Emissivity>1e-18
# with 0.1 keV < energy < 10.1 keV
# www.atomdb.org/Webguide, uses atomDB 3.0.2
ion	ionization_stage	energy	wavelength	upper_lev	lower_lev	emissivity	kT	relative_intensity
#(-)	(-)	(keV)	(A)	(level)	(level)	(ph*cm3/s)	(keV)	(-)
Fe	XIX	1.164	10.6516503436	332	4	1.551E-018	0.8617	0
Fe	XIX	1.164	10.6516503436	279	1	1.134E-018	0.8617	0
Fe	XVIII	1.164	10.6516503436	231	2	1.504E-018	0.6845	0
Fe	XVII	1.163	10.6608091144	181	1	2.287E-017	0.5437	0
Fe	XXIV	1.163	10.6608091144	5	1	5.742E-017	1.719	0.01
Fe	XIX	1.162	10.6699836489	270	1	3.005E-018	0.8617	0
Fe	XX	1.161	10.6791739879	356	7	2.713E-018	0.8617	0
Fe	XVIII	1.161	10.6791739879	204	1	1.056E-018	0.6845	0
Fe	XIX	1.16	10.6883801724	276	1	1.74E-017	0.8617	0
Fe	XX	1.159	10.6976022433	356	8	1.439E-018	0.8617	0
Fe	XIX	1.159	10.6976022433	292	3	1.06E-018	0.8617	0
Fe	XVIII	1.158	10.7068402418	412	3	1.146E-018	0.6845	0
Fe	XIX	1.157	10.7160942092	289	3	2.689E-018	0.8617	0
Fe	XIX	1.157	10.7160942092	288	3	1.078E-018	0.8617	0
Ni	XXIV	1.157	10.7160942092	49	6	1.282E-018	1.366	0
Ni	XXIII	1.156	10.7253641869	40	1	1.711E-017	1.366	0
Fe	XIX	1.156	10.7253641869	321	4	1.48E-018	0.8617	0
Fe	XIX	1.156	10.7253641869	472	6	2.893E-018	0.8617	0
Fe	XIX	1.154	10.7439523397	280	3	1.101E-018	0.8617	0
Ne	IX	1.152	10.7626050347	37	1	7.98E-018	0.3431	0
Fe	XIX	1.152	10.7626050347	279	3	5.162E-018	0.8617	0
Fe	XVII	1.151	10.7719556907	155	1	4.329E-017	0.5437	0
Fe	XIX	1.151	10.7719556907	270	3	1.863E-018	0.8617	0
Fe	XIX	1.149	10.7907058312	301	4	4.808E-018	0.8617	0
Fe	XIX	1.149	10.7907058312	297	4	1.748E-018	0.8617	0
Fe	XIX	1.148	10.8001054007	292	4	4.578E-018	0.8617	0
Fe	XXIII	1.147	10.8095213601	38	4	3.402E-018	1.366	0
Fe	XIX	1.147	10.8095213601	240	1	4.872E-018	0.8617	0
Fe	XIX	1.147	10.8095213601	289	4	1.019E-018	0.8617	0
Fe	XIX	1.146	10.8189537522	243	1	5.182E-017	0.8617	0.01
Fe	XVIII	1.143	10.8473499563	391	3	1.22E-018	0.6845	0
Ni	XXIII	1.143	10.8473499563	40	2	3.08E-018	1.366	0
Fe	XIX	1.141	10.866363716	276	4	1.319E-018	0.8617	0
Fe	XIX	1.14	10.875895614	227	1	3.189E-018	0.8617	0
Ni	XXI	1.139	10.8854442493	97	1	1.103E-018	1.085	0
Fe	XIX	1.139	10.8854442493	242	2	1.362E-018	0.8617	0
Fe	XXIII	1.138	10.8950096661	35	4	1.063E-018	1.366	0
Fe	XXII	1.137	10.9045919085	62	1	1.054E-018	1.085	0
Fe	XIX	1.136	10.9141910211	240	3	6.268E-018	0.8617	0
Fe	XIX	1.136	10.9141910211	222	1	1.192E-018	0.8617	0
Fe	XXIII	1.135	10.9238070485	32	4	2.603E-018	1.366	0
Fe	XXIII	1.135	10.9238070485	26	3	2.014E-018	1.366	0
Fe	XX	1.135	10.9238070485	286	6	1.342E-018	0.8617	0
Fe	XX	1.132	10.9527570671	283	6	1.043E-018	0.8617	0
Fe	XXIII	1.129	10.9818609389	15	1	1.189E-016	1.366	0.01
Fe	XX	1.129	10.9818609389	280	6	1.21E-018	0.8617	0
Fe	XIX	1.129	10.9818609389	418	7	3.911E-018	0.8617	0
Fe	XX	1.129	10.9818609389	289	7	1.097E-017	0.8617	0
Fe	XIX	1.128	10.9915966312	392	6	1.161E-018	0.8617	0
